,date,name,type,finishers,location
1193,Aug/28/2021,The North Country Run,50 KM,91 finishers,"Grand Rapids, MI"
1194,Aug/28/2021,The North Country Run,50 Miles,58 finishers,"Grand Rapids, MI"
1195,Aug/28/2021,Cascade Crest,100 Miles,110 finishers,"Easton, WA"
1196,Aug/28/2021,"Moebius - Green, Monster Trail",50 KM,34 finishers,"Aurora, OH"
1197,Aug/28/2021,Capt'n Karl's Reveille Ranch,60 KM,25 finishers,"Burnet, TX"
1198,Aug/28/2021,FANS Ultra Races,6 Hours,5 finishers,"Minneapolis, MN"
1199,Aug/28/2021,FANS Ultra Races,24 Hours,54 finishers,"Minneapolis, MN"
1200,Aug/28/2021,FANS Ultra Races,12 Hours,40 finishers,"Minneapolis, MN"
1201,Aug/27/2021,24 Hours of Palmer Lake Fun Run,24 Hours,6 finishers,"Palmer Lake, CO"
1202,Aug/27/2021,24 Hours of Palmer Lake Fun Run,24 Hours,16 finishers,"Palmer Lake, CO"
1203,Aug/27/2021,Divide 100,100 Miles,3 finishers,"Georgetown, CO"
1204,Aug/27/2021,Big Hill Bonk - Wisconsin's Backyard Ultra,Backyard,1 finishers,"Beloit, WI"
1205,Aug/27/2021,Night Crawler 12 Hour Endurance Challenge,12 Hours,17 finishers,"Casper, WY"
1206,Aug/22/2021,Spartan Trail Monterey,50 KM,13 finishers,"Salinas, CA"
1207,Aug/22/2021,CTR - Diablo Trail Run,50 KM,16 finishers,"Clayton, CA"
1208,Aug/22/2021,Anchorage Run Fest,49 KM,86 finishers,"Anchorage, AK"
1209,Aug/22/2021,Thacher Park Trail Running Festival,50 KM,12 finishers,"Voorheesville, NY"
1210,Aug/22/2021,E.T. Full Moon Midnight,51 KM,20 finishers,"Rachel, NV"
1211,Aug/21/2021,Marquette Trail 50,50 KM,193 finishers,"Marquette, MI"
1212,Aug/21/2021,Marquette Trail 50,50 Miles,34 finishers,"Marquette, MI"
1213,Aug/21/2021,Rainier to Ruston,50 Miles,5 finishers,"Tacoma, WA"
1214,Aug/21/2021,Harriman Park 50k,50 KM,21 finishers,"Island Park, ID"
1215,Aug/21/2021,Underdown Trail Races,50 KM,9 finishers,"Gleason, WI"
1216,Aug/21/2021,Golden State 50K,50 KM,64 finishers,"Salinas, CA"
1217,Aug/21/2021,Cloudcroft Ultra 53k and 9.5 mile,53 KM,43 finishers,"Cloudcroft, NM"
1218,Aug/21/2021,Southern Fried 50/50,50 Miles,7 finishers,"Columbus, GA"
1219,Aug/21/2021,Southern Fried 50/50,50 KM,22 finishers,"Columbus, GA"
1220,Aug/21/2021,Kesugi Ridge Traverse Trail Run,30 Miles,35 finishers,"Denali State Park, AK"
1221,Aug/21/2021,Harriers Elk-Beaver,50 KM,16 finishers,"Victoria, BC"
1222,Aug/21/2021,Caney Fork Ultra,40 Miles,38 finishers,"Spencer, TN"
1223,Aug/21/2021,The Foxtail Hundred Rail Trail Race,100 Miles,9 finishers,"Dundas, ON"
1224,Aug/21/2021,The Foxtail Hundred Rail Trail Race,50 KM,33 finishers,"Dundas, ON"
1225,Aug/21/2021,The Foxtail Hundred Rail Trail Race,50 Miles,11 finishers,"Dundas, ON"
1226,Aug/21/2021,The Foxtail Hundred Rail Trail Race,100 KM,16 finishers,"Dundas, ON"
1227,Aug/21/2021,Steel City 12 Hour Endurance Run,12 Hours,61 finishers,"Middletown, OH"
1228,Aug/21/2021,Sandhills Trail & Ultra Festival,30 Hours,74 finishers,"Columbia, SC"
1229,Aug/21/2021,China Peak Running Festival,100 KM,8 finishers,"Lakeshore, CA"
1230,Aug/21/2021,China Peak Running Festival,50 KM,31 finishers,"Lakeshore, CA"
1231,Aug/21/2021,Moose Mountain Trail Races,50 KM,17 finishers,"Bragg Creek, AB"
1232,Aug/21/2021,Time for Wine,6 Hours,2 finishers,"Volcano, HI"
1233,Aug/21/2021,The Great Divide,50 KM,4 finishers,"Marysville, MT"
1234,Aug/21/2021,Fairgrounds 8H Ultra,8 Hours,18 finishers,"Glendale, KY"
1235,Aug/21/2021,Another Round,12 Hours,7 finishers,"Manhattan, KS"
1236,Aug/21/2021,Another Round,9 Hours,7 finishers,"Manhattan, KS"
1237,Aug/21/2021,Another Round,6 Hours,6 finishers,"Manhattan, KS"
1238,Aug/21/2021,Illiniwek Race The Night,50 KM,10 finishers,"Hampton, IL"
1239,Aug/21/2021,Post Canyon 50K,50 KM,24 finishers,"Hood River, OR"
1240,Aug/21/2021,Twisted Branch Trail Run,100 KM,108 finishers,"Naples, NY"
1241,Aug/21/2021,Black Spur Ultra,54 KM,135 finishers,"Kimberley, BC"
1242,Aug/21/2021,Black Spur Ultra,108 KM,57 finishers,"Kimberley, BC"
1243,Aug/21/2021,Continental Divide Trail Run,50 KM,108 finishers,"Steamboat Springs, CO"
1244,Aug/21/2021,Leadville Trail,100 Miles,322 finishers,"Leadville, CO"
1245,Aug/21/2021,Waldo 100K,100 KM,90 finishers,"Oakridge, OR"
1246,Aug/21/2021,Tie Dye,50 KM,70 finishers,"Yellow Springs, OH"
1247,Aug/20/2021,Kodiak Ultra Marathons,100 Miles,42 finishers,"Big Bear Lake, CA"
1248,Aug/20/2021,Kodiak Ultra Marathons,100 KM,33 finishers,"Big Bear Lake, CA"
1249,Aug/20/2021,Mountain Lakes Backyard Ultra,Backyard,29 finishers,"North Salem, NY"
1250,Aug/20/2021,Wyoming Range 100-Mile Endurance Run,100 Miles,19 finishers,"Hoback, WY"
1251,Aug/20/2021,Dusk to Dawn Trail Run,12 Hours,6 finishers,"Sheridan, WY"
1252,Aug/19/2021,Headlands Endurance Runs,100 Miles,27 finishers,"Sausalito, CA"
1253,Aug/19/2021,Headlands Endurance Runs,100 KM,16 finishers,"Sausalito, CA"
1254,Aug/19/2021,Headlands Endurance Runs,50 Miles,49 finishers,"Sausalito, CA"
1255,Aug/19/2021,Headlands Endurance Runs,150 Miles,5 finishers,"Sausalito, CA"
1256,Aug/15/2021,Marlette 50K and 10 Miler,50 KM,84 finishers,"Spooner Lake, NV"
1257,Aug/14/2021,Skyline Mountain Marathon,55 KM,62 finishers,"Liberty, UT"
1258,Aug/14/2021,Resort to Rock,50 KM,37 finishers,"Boise, ID"
1259,Aug/14/2021,Hamster Endurance Runs,24 Hours,13 finishers,"Bellingham, WA"
1260,Aug/14/2021,Hamster Endurance Runs,12 Hours,17 finishers,"Bellingham, WA"
1261,Aug/14/2021,Hamster Endurance Runs,6 Hours,4 finishers,"Bellingham, WA"
1262,Aug/14/2021,Hamster Endurance Runs,32 Hours,28 finishers,"Bellingham, WA"
1263,Aug/14/2021,Castle Peak 100k,100 KM,132 finishers,"Truckee, CA"
1264,Aug/14/2021,Habanero Hundred,100 Miles,24 finishers,"Cat Spring, TX"
1265,Aug/14/2021,Habanero Hundred,100 KM,36 finishers,"Cat Spring, TX"
1266,Aug/14/2021,Habanero Hundred,50 KM,64 finishers,"Cat Spring, TX"
1267,Aug/14/2021,QMT - Quebec Mega Trail,50 Miles,120 finishers,"Beaupré, QC"
1268,Aug/14/2021,QMT - Quebec Mega Trail,110 KM,43 finishers,"Beaupré, QC"
1269,Aug/14/2021,QMT - Quebec Mega Trail,52 KM,348 finishers,"Beaupré, QC"
1270,Aug/14/2021,Trail of the Dragon 50K/50 mile Run,50 KM,16 finishers,"Ida Grove, IA"
1271,Aug/14/2021,Trail of the Dragon 50K/50 mile Run,50 Miles,5 finishers,"Ida Grove, IA"
1272,Aug/14/2021,Rocky Branch Challenge (Rivermen Ultra),50 KM,18 finishers,"Belmont, NC"
1273,Aug/14/2021,Fort Frenzy Ultra Festival,6 Hours,4 finishers,"Vonore, TN"
1274,Aug/14/2021,Fort Frenzy Ultra Festival,12 Hours,12 finishers,"Vonore, TN"
1275,Aug/14/2021,Fort Frenzy Ultra Festival,24 Hours,15 finishers,"Vonore, TN"
1276,Aug/14/2021,12 Hours of Road America,12 Hours,24 finishers,"Plymouth, WI"
1277,Aug/14/2021,Unicorns Unleashed 55K,55 KM,25 finishers,"Springville, UT"
1278,Aug/14/2021,6 Hours On Lover's Lane,6 Hours,11 finishers,"Chester, VT"
1279,Aug/14/2021,Angry Owl Ultramarathons,24 Hours,9 finishers,"Salem, OR"
1280,Aug/14/2021,Angry Owl Ultramarathons,12 Hours,11 finishers,"Salem, OR"
1281,Aug/14/2021,Angry Owl Ultramarathons,6 Hours,7 finishers,"Salem, OR"
1282,Aug/14/2021,Elephant Rock Trail Run,26.8 Miles,7 finishers,"Bountiful, UT"
1283,Aug/14/2021,Elephant Rock Trail Run,50 KM,15 finishers,"Bountiful, UT"
1284,Aug/14/2021,DURTY B-EE-RR-UN 6hr St. Pete Fat Ass,6 Hours,27 finishers,"St. Petersburg, FL"
1285,Aug/14/2021,Iron Legs Mountain Races,100 KM,16 finishers,"Station Flats, AB"
1286,Aug/14/2021,Iron Legs Mountain Races,60 KM,71 finishers,"Station Flats, AB"
1287,Aug/14/2021,Iron Legs Mountain Races,50 Miles,9 finishers,"Station Flats, AB"
1288,Aug/14/2021,Sweltering Summer Ultra and Marathon,8 Hours,49 finishers,"Pittsfield, MA"
1289,Aug/14/2021,Cool Moon Trail Races,100 KM,7 finishers,"Cool, CA"
1290,Aug/14/2021,Cool Moon Trail Races,50 Miles,17 finishers,"Cool, CA"
1291,Aug/14/2021,Eastern States 100,100 Miles,83 finishers,"Waterville, PA"
1292,Aug/14/2021,Jarmans Invitational Marathon,30 Miles,41 finishers,"Crozet, VA"
1293,Aug/14/2021,Martha Moats Baker Memorial 50Km,50 KM,40 finishers,"Wild Oak Trail Trailhead, VA"
1294,Aug/14/2021,Lean Horse,50 KM,38 finishers,"Custer, SD"
1295,Aug/14/2021,Lean Horse,50 Miles,34 finishers,"Custer, SD"
1296,Aug/14/2021,Lean Horse,100 Miles,53 finishers,"Custer, SD"
1297,Aug/14/2021,Howl at the Moon 8 Hour,8 Hours,138 finishers,"Danville, IL"
1298,Aug/14/2021,Wildcat Ridge Romp,50 KM,30 finishers,"Rockaway, NJ"
1299,Aug/14/2021,Wildcat Ridge Romp,100 KM,1 finishers,"Rockaway, NJ"
1300,Aug/14/2021,Wildcat Ridge Romp,50 Miles,3 finishers,"Rockaway, NJ"
1301,Aug/14/2021,Vertigo Night Runs,52 KM,31 finishers,"Waddell, AZ"
1302,Aug/13/2021,HighFive100,100 Miles,12 finishers,"Lake City, CO"
1303,Aug/13/2021,Baby Dragon,100 Miles,3 finishers,"Blairsville, GA"
1304,Aug/13/2021,Baby Dragon,40 Miles,28 finishers,"Blairsville, GA"
1305,Aug/13/2021,Bigfoot 200 Endurance Run,200 Miles,111 finishers,"Mount St. Helens, WA"
1306,Aug/13/2021,Anchor Down Ultra,24 Hours,78 finishers,"Bristol, RI"
1307,Aug/13/2021,Anchor Down Ultra,12 Hours,30 finishers,"Bristol, RI"
1308,Aug/13/2021,Anchor Down Ultra,6 Hours,11 finishers,"Bristol, RI"
1309,Aug/13/2021,QMT - Quebec Mega Trail,100 Miles,48 finishers,"Beaupré, QC"
1310,Aug/08/2021,Dark Divide 100 Miler,50 KM,17 finishers,"Randle, WA"
1311,Aug/08/2021,Minipi 50 - Doom Mountain Ultra,50 KM,8 finishers,"Goose Bay, NL"
1312,Aug/08/2021,Nocterra Quitter's Run,6 Hours,4 finishers,"Powell, OH"
1313,Aug/08/2021,Capt'n Karl's - Muleshoe Bend,60 KM,27 finishers,"Marble Falls, TX"
1314,Aug/08/2021,Ragged 75 Stage Race and 50k,50 KM,178 finishers,"Danbury, NH"
1315,Aug/07/2021,High Cliff Ultra,50 KM,19 finishers,"Sherwood, WI"
1316,Aug/07/2021,Sheep Mountain Endurance Run,50 Miles,29 finishers,"Fairplay, CO"
1317,Aug/07/2021,Sheep Mountain Endurance Run,50 KM,63 finishers,"Fairplay, CO"
1318,Aug/07/2021,TARC Summer Classic,40 Miles,18 finishers,"Medfield, MA"
1319,Aug/07/2021,TARC Summer Classic,50 KM,28 finishers,"Medfield, MA"
1320,Aug/07/2021,River to Sea,6 Hours,28 finishers,"Marineland, FL"
1321,Aug/07/2021,River to Sea,12 Hours,53 finishers,"Marineland, FL"
1322,Aug/07/2021,Kanawha Trace trail Runs,50 KM,50 finishers,"Oma, WV"
1323,Aug/07/2021,Allegheny Front Trail Race,50 KM,48 finishers,"Moshannon State Forest, PA"
1324,Aug/07/2021,Rodeo Valley Trail Run,50 KM,56 finishers,"Sausalito, CA"
1325,Aug/07/2021,Moosalamoo Ultra,36 Miles,54 finishers,"Goshen, VT"
1326,Aug/07/2021,H9 Dragon,50 Miles,35 finishers,"Blairsville, GA"
1327,Aug/07/2021,Capt'n Karl's Colorado Bend,60 KM,44 finishers,"Lampasas, TX"
1328,Aug/07/2021,Volcanic 50,50 KM,177 finishers,"Cougar, WA"
1329,Aug/07/2021,Dahlgren Heritage Rail Trail 50K,50 KM,100 finishers,"King George, VA"
1330,Aug/07/2021,Loopy Looper 12-hour,12 Hours,77 finishers,"Pennsauken Township, NJ"
1331,Aug/07/2021,Loopy Looper 12-hour,24 Hours,26 finishers,"Pennsauken Township, NJ"
1332,Aug/07/2021,Dream Factory 24--Hour Run for Dreams,24 Hours,18 finishers,"Louisville, KY"
1333,Aug/07/2021,Dream Factory 24--Hour Run for Dreams,12 Hours,10 finishers,"Louisville, KY"
1334,Aug/07/2021,Frickin Hot 50K,50 KM,12 finishers,"Cassadaga, NY"
1335,Aug/07/2021,Bluegrass Reaper Challenge,50 KM,37 finishers,"Berea, KY"
1336,Aug/07/2021,Warhorse Ultra,12 Hours,22 finishers,"Wartrace, TN"
1337,Aug/07/2021,Warhorse Ultra,6 Hours,9 finishers,"Wartrace, TN"
1338,Aug/07/2021,Fort4Fitness Summer Sunset Relay,6 Hours,10 finishers,"Fort Wayne, IN"
1339,Aug/07/2021,Watershed Endurance 6Hr/3Hr Run,6 Hours,26 finishers,"Edwardsville, IL"
1340,Aug/07/2021,WRATH Texas Endurance Runs,24 Hours,12 finishers,"Ft. Worth, TX"
1341,Aug/07/2021,Blazin' Summer Sufferfest,54 KM,16 finishers,"Cedar Hill, TX"
1342,Aug/07/2021,El Vaquero Loco,50 KM,95 finishers,"Afton, WY"
1343,Aug/07/2021,Kat'cina Mosa 100K Mountain Run,100 KM,28 finishers,"Springville, UT"
1344,Aug/07/2021,Silverton Ultra Dirty,100 KM,48 finishers,"Silverton, CO"
1345,Aug/07/2021,Silverton Ultra Dirty,60 KM,92 finishers,"Silverton, CO"
1346,Aug/06/2021,Silverton Ultra Dirty,100 Miles,26 finishers,"Silverton, CO"
1347,Aug/06/2021,Dark Divide 100 Miler,100 Miles,5 finishers,"Randle, WA"
1348,Aug/06/2021,WRATH Texas Endurance Runs,48 Hours,6 finishers,"Ft. Worth, TX"
1349,Aug/06/2021,WRATH Texas Endurance Runs,24 Hours,8 finishers,"Ft. Worth, TX"
1350,Aug/01/2021,Badger Trail Races by Ten Junk Miles Racing,50 KM,62 finishers,"Belleville, WI"
1351,Aug/01/2021,Badger Trail Races by Ten Junk Miles Racing,50 Miles,36 finishers,"Belleville, WI"
1352,Aug/01/2021,Asheville Spartan Trail,50 KM,22 finishers,"Mill Spring, NC"
1353,Aug/01/2021,Skyline 50K,50 KM,201 finishers,"San Leandro, CA"
1354,Jul/31/2021,Power of Four,50 KM,65 finishers,"Aspen, CO"
1355,Jul/31/2021,Tushars Mountain Runs,100 KM,75 finishers,"Eagle Point Ski Resort, UT"
1356,Jul/31/2021,Tushars Mountain Runs,70 KM,68 finishers,"Eagle Point Ski Resort, UT"
1357,Jul/31/2021,Never Summer 100K,100 KM,204 finishers,"Gould, CO"
1358,Jul/31/2021,Pikes Peak Ultra,50 Miles,52 finishers,"Colorado Springs, CO"
1359,Jul/31/2021,Pikes Peak Ultra,50 KM,83 finishers,"Colorado Springs, CO"
1360,Jul/31/2021,The Mighty Mosquito 99 Mile Relay,99 Miles,12 finishers,"Mendon, NY"
1361,Jul/31/2021,Maah Daah Hey Trail Run,100 Miles,8 finishers,"Watford City, ND"
1362,Jul/31/2021,Maah Daah Hey Trail Run,50 Miles,12 finishers,"Watford City, ND"
1363,Jul/31/2021,Maah Daah Hey Trail Run,75 Miles,3 finishers,"Watford City, ND"
1364,Jul/31/2021,Elkhorn Crest,50 Miles,30 finishers,"Sumpter, OR"
1365,Jul/31/2021,Elkhorn Crest,50 KM,59 finishers,"Sumpter, OR"
1366,Jul/31/2021,Jug End Loop Ultra,6 Hours,8 finishers,"Egremont, MA"
1367,Jul/31/2021,Southern Discomfort,24 Hours,5 finishers,"Albany, GA"
1368,Jul/31/2021,Southern Discomfort,12 Hours,14 finishers,"Albany, GA"
1369,Jul/31/2021,Southern Discomfort,6 Hours,2 finishers,"Albany, GA"
1370,Jul/31/2021,Southern Discomfort,30 Hours,15 finishers,"Albany, GA"
1371,Jul/31/2021,Miner's Lady 8-Hour,8 Hours,41 finishers,"Harper's Ferry, WV"
1372,Jul/31/2021,Wy'east Howl Trail Run,50 KM,189 finishers,"Government Camp, OR"
1373,Jul/31/2021,Wy'east Howl Trail Run,100 KM,76 finishers,"Government Camp, OR"
1374,Jul/31/2021,Grand Mesa Ultras,50 Miles,31 finishers,"Grand Mesa, CO"
1375,Jul/31/2021,Grand Mesa Ultras,55 KM,49 finishers,"Grand Mesa, CO"
1376,Jul/31/2021,Beast of Burden - Summer,50 Miles,30 finishers,"Lockport, NY"
1377,Jul/31/2021,Beast of Burden - Summer,100 Miles,18 finishers,"Lockport, NY"
1378,Jul/31/2021,Big Butts,50 KM,61 finishers,"Jackson, MS"
1379,Jul/31/2021,Big Butts,100 KM,4 finishers,"Jackson, MS"
1380,Jul/31/2021,Endless Summer 6-Hour Run,6 Hours,63 finishers,"Annapolis, MD"
1381,Jul/31/2021,BUS Pajama Romp,6 Hours,33 finishers,"Queens, NY"
1382,Jul/31/2021,Crystal Springs - Summer,50 KM,32 finishers,"Woodside, CA"
1383,Jul/31/2021,Badger Trail Races by Ten Junk Miles Racing,100 KM,46 finishers,"Belleville, WI"
1384,Jul/31/2021,Badger Trail Races by Ten Junk Miles Racing,100 Miles,93 finishers,"Belleville, WI"
1385,Jul/31/2021,The Stevest,42 Miles,15 finishers,"Concord, NC"
1386,Jul/31/2021,Sunburn Solstice Run,15 Hours,13 finishers,"Mount Hope, ON"
1387,Jul/31/2021,Sunburn Solstice Run,8 Hours,9 finishers,"Mount Hope, ON"
1388,Jul/31/2021,Sunburn Solstice Run,4 Hours,2 finishers,"Mount Hope, ON"
1389,Jul/31/2021,Bob's Big Timber Backyard Ultra,Backyard,45 finishers,"Glenmont, OH"
1390,Jul/31/2021,Tiger Peak Challenge,50 KM,31 finishers,"Issaquah, WA"
1391,Jul/31/2021,Resurrection Pass,50 Miles,46 finishers,"Cooper Landing, AK"
1392,Jul/31/2021,White River 50,50 Miles,61 finishers,"Crystal Mountain, WA"
1393,Jul/31/2021,Canadian Death Race,125 KM,120 finishers,"Grande Cache, AB"
1394,Jul/30/2021,Resurrection Pass,100 Miles,9 finishers,"Cooper Landing, AK"
1395,Jul/30/2021,Ouray 100 Mile Endurance Run,50 Miles,35 finishers,"Ouray, CO"
1396,Jul/30/2021,Ouray 100 Mile Endurance Run,100 Miles,35 finishers,"Ouray, CO"
1397,Jul/30/2021,High Lonesome 100,100 Miles,94 finishers,"Salida, CO"
1398,Jul/30/2021,Never Summer 100K,60 KM,151 finishers,"Gould, CO"
1399,Jul/30/2021,Joy Run,50 KM,21 finishers,"Pasadena, NL"
1400,Jul/25/2021,Kensington Marathon,50 KM,9 finishers,"Kent Lake, MI"
1401,Jul/25/2021,Hardin-Meade Endurance Run,50 KM,33 finishers,"Elizabethtown, KY"
1402,Jul/25/2021,Hot To Trot,8 Hours,43 finishers,"Lithia Springs, GA"
1403,Jul/25/2021,Hot To Trot,4 Hours,3 finishers,"Lithia Springs, GA"
1404,Jul/24/2021,Loopty Loop Ultra,12 Hours,72 finishers,"Rochester Hills, MI"
1405,Jul/24/2021,Loopty Loop Ultra,4 Hours,0 finishers,"Rochester Hills, MI"
1406,Jul/24/2021,Loopty Loop Ultra,8 Hours,23 finishers,"Rochester Hills, MI"
1407,Jul/24/2021,Grand Island Trail 50K,50 KM,94 finishers,"Munising, MI"
1408,Jul/24/2021,Tally in the Valley,24 Hours,26 finishers,"Dundas, ON"
1409,Jul/24/2021,Tally in the Valley,12 Hours,24 finishers,"Dundas, ON"
1410,Jul/24/2021,Tally in the Valley,6 Hours,15 finishers,"Dundas, ON"
1411,Jul/24/2021,Tally in the Valley,12 Hours,14 finishers,"Dundas, ON"
1412,Jul/24/2021,The Yeti 100 Mile Endurance Run-Washington,100 Miles,13 finishers,"North Bend, WA"
1413,Jul/24/2021,The Yeti 100 Mile Endurance Run-Washington,100 KM,18 finishers,"North Bend, WA"
1414,Jul/24/2021,Crown of the Crest,Backyard,5 finishers,"Fremont, NE"
1415,Jul/24/2021,Crown of the Crest,24 Hours,20 finishers,"Fremont, NE"
1416,Jul/24/2021,Stunner Night Runs,50 KM,50 finishers,"Mesa, AZ"
1417,Jul/24/2021,Vero Beach Octopus Ultra,100 Miles,13 finishers,"Vero Beach, FL"
1418,Jul/24/2021,Vero Beach Octopus Ultra,50 Miles,14 finishers,"Vero Beach, FL"
1419,Jul/24/2021,Vero Beach Octopus Ultra,50 KM,32 finishers,"Vero Beach, FL"
1420,Jul/24/2021,Vero Beach Octopus Ultra,100 KM,8 finishers,"Vero Beach, FL"
1421,Jul/24/2021,West Yellowstone 50K Trail Race,50 KM,19 finishers,"West Yellowstone, MT"
1422,Jul/24/2021,Wild Billy's Midnight Classic,8 Hours,11 finishers,"Taylorsville, KY"
1423,Jul/24/2021,Elder Creek Night Runs In The Desert,50 KM,26 finishers,"Anza, CA"
1424,Jul/24/2021,MFAMTL 8 Hour,8 Hours,21 finishers,"Scottsville, NY"
1425,Jul/24/2021,MCW Westfield Ultra,24 Hours,9 finishers,"Westfield, NJ"
1426,Jul/24/2021,MCW Westfield Ultra,12 Hours,6 finishers,"Westfield, NJ"
1427,Jul/24/2021,MCW Westfield Ultra,9 Hours,3 finishers,"Westfield, NJ"
1428,Jul/24/2021,MCW Westfield Ultra,6 Hours,8 finishers,"Westfield, NJ"
1429,Jul/24/2021,Hawaii Kai Ultra Run – XTreme,50 KM,7 finishers,"Honolulu, HI"
1430,Jul/24/2021,Hawaii Kai Ultra Run – XTreme,50 Miles,1 finishers,"Honolulu, HI"
1431,Jul/24/2021,Hawaii Kai Ultra Run – XTreme,100 KM,1 finishers,"Honolulu, HI"
1432,Jul/24/2021,Madison Ultra,50 KM,5 finishers,"Ennis, MT"
1433,Jul/24/2021,Madison Ultra,50 KM,4 finishers,"Ennis, MT"
1434,Jul/24/2021,Speedgoat,50 KM,227 finishers,"Snowbird Resort, UT"
1435,Jul/24/2021,Minnesota Voyageur,50 Miles,111 finishers,"Carlton, MN"
1436,Jul/24/2021,Burning River,52.2 Miles,45 finishers,"Willoughby Hills, OH"
1437,Jul/24/2021,Burning River,50 Miles,199 finishers,"Willoughby Hills, OH"
1438,Jul/24/2021,Burning River,100 Miles,170 finishers,"Willoughby Hills, OH"
1439,Jul/24/2021,Fort Ord Trail Run,50 KM,78 finishers,"Monterey, CA"
1440,Jul/24/2021,Last at the Lake,50 KM,11 finishers,"West Point Lake, GA"
1441,Jul/24/2021,Catherine's FA 50K,50 KM,66 finishers,"Luray, VA"
1442,Jul/24/2021,Needles 50k,50 KM,57 finishers,"Easton, WA"
1443,Jul/24/2021,Standhope,60 KM,50 finishers,"Ketchum, ID"
1444,Jul/24/2021,Wakely Dam Ultra,55 KM,64 finishers,"Piseco Lake, NY"
1445,Jul/23/2021,La Nuit,9 Hours,11 finishers,"Dallas, TX"
1446,Jul/23/2021,La Nuit,6 Hours,1 finishers,"Dallas, TX"
1447,Jul/23/2021,Christmas in July Races,6 Hours,5 finishers,"Lisle, IL"
1448,Jul/23/2021,Christmas in July Races,12 Hours,19 finishers,"Lisle, IL"
1449,Jul/23/2021,Christmas in July Races,24 Hours,15 finishers,"Lisle, IL"
1450,Jul/23/2021,Chase the Moon Endurance Run,12 Hours,90 finishers,"Highlands Ranch, CO"
1451,Jul/19/2021,Badwater 135,135 Miles,68 finishers,"Death Valley, CA"
1452,Jul/18/2021,Big Chief 50K,50 KM,140 finishers,"Truckee, CA"
1453,Jul/18/2021,Extreme Ravine,50 KM,9 finishers,"Binghamton, NY"
1454,Jul/17/2021,El Fuego 50,50 KM,22 finishers,"Ft. Worth, TX"
1455,Jul/17/2021,Crimson Lake Trail Venture,30 Miles,9 finishers,"Stockton, MO"
1456,Jul/17/2021,Connor's Claims Ultra,30 Miles,21 finishers,"Stockton, UT"
1457,Jul/17/2021,Big Wolf's Backyard Ultra,Backyard,74 finishers,"Cacouna, QC"
1458,Jul/17/2021,Cacapon 12 Hour Challenge,12 Hours,35 finishers,"Berkely Springs, WV"
1459,Jul/17/2021,Full Moon 25k/50k/50m Run,50 KM,111 finishers,"Perryville, AR"
1460,Jul/17/2021,Devil's Backbone,50 Miles,13 finishers,"Bozeman, MT"
1461,Jul/17/2021,Tahoe Rim Trail,100 Miles,98 finishers,"Carson City, NV"
1462,Jul/17/2021,Tahoe Rim Trail,50 Miles,130 finishers,"Carson City, NV"
1463,Jul/17/2021,Tahoe Rim Trail,55 KM,109 finishers,"Carson City, NV"
1464,Jul/17/2021,Salt Point Trail Run,50 KM,24 finishers,"Jenner, CA"
1465,Jul/17/2021,Orange Curtain,12 Hours,10 finishers,"Cerritos, CA"
1466,Jul/17/2021,Orange Curtain,50 KM,16 finishers,"Cerritos, CA"
1467,Jul/17/2021,Kill Bill's Oyster Dome Challenge,50 KM,13 finishers,"Alger, WA"
1468,Jul/17/2021,Get Your Butt Kicked @ Route 66,6 Hours,48 finishers,"Eureka, MO"
1469,Jul/17/2021,CandleLight 12 Hour - Overnight Ultra,12 Hours,34 finishers,"Honeoye Falls, NY"
1470,Jul/17/2021,Backcountry Rise Trail Run,50 KM,176 finishers,"Toutle, WA"
1471,Jul/17/2021,Backcountry Rise Trail Run,50 Miles,41 finishers,"Toutle, WA"
1472,Jul/17/2021,8 Hour Dream Endurance Race & Marathon,8 Hours,135 finishers,"Indianapolis, IN"
1473,Jul/17/2021,Dirty Burg,50 KM,31 finishers,"Belmont, MI"
1474,Jul/16/2021,Mount Herman Adventure Run,50 Miles,1 finishers,"Palmer Lake, CO"
1475,Jul/16/2021,Hardrock 100 Endurance Run,100 Miles,112 finishers,"Silverton, CO"
1476,Jul/16/2021,Orange Curtain,24 Hours,11 finishers,"Cerritos, CA"
1477,Jul/16/2021,Orange Curtain,100 KM,11 finishers,"Cerritos, CA"
1478,Jul/12/2021,Run the Keweenaw,50 KM,1 finishers,"Eagle Harbor, MI"
1479,Jul/11/2021,Angevine Farm Half Marathon,50 KM,23 finishers,"Warren, CT"
1480,Jul/11/2021,Red Wing Trail Challenge,60 KM,23 finishers,"Lagrangeville, NY"
1481,Jul/11/2021,Silver Rush 50,50 Miles,402 finishers,"Leadville, CO"
1482,Jul/11/2021,Mt. Hood 50,50 KM,128 finishers,"Timothy Lake, OR"
1483,Jul/11/2021,Last Call 50 Miler,53.5 Miles,47 finishers,"Fairplay, CO"
1484,Jul/10/2021,Bigfoot 73M & 40M,73 Miles,40 finishers,"Cougar, WA"
1485,Jul/10/2021,Bigfoot 73M & 40M,40 Miles,130 finishers,"Cougar, WA"
1486,Jul/10/2021,Buckeye Trail 50K - Summer,50 KM,150 finishers,"Brecksville, OH"
1487,Jul/10/2021,Walnut River Gravel Run,50 KM,13 finishers,"El Dorado, KS"
1488,Jul/10/2021,The Divide 50,50 KM,31 finishers,"Butte, MT"
1489,Jul/10/2021,Fat Sass Switchback Challenge,6 Hours,3 finishers,"Millburn, NJ"
